Comunity;province;municipality_ID;municipality_name;poblado_is_municipality;is_treated;treatment_age_50;treatment_age_60;treatment_age_70;treatment_age_80;Exist_Today;Pop_1842;Pop_1877;Pop_1887;Pop_1897;Pop_1900;Pop_1910;Pop_1920;Pop_1930;Pop_1940;Pop_1950;Pop_1960;Pop_1970;Pop_1981;Pop_1991;Pop_2001;Pop_2011;Pop_2021;river_distance_m;Latitude;longitude;area_km^2;urban_dist_km
Andalucia;Almeria;4001;Abla;0;0;0;0;0;0;1;2117;2704;2695;2863;2461;2772;2728;2683;2980;2567;2340;1897;1723;1663;1501;1459;1260;27802,76077;37,14222222;-2,777222222;45;43,42823408
Andalucia;Almeria;4002;Abrucena;0;0;0;0;0;0;1;1268;1964;1945;2259;2341;1854;2322;2532;2703;2490;2294;1835;1649;1432;1418;1352;1212;33966,99383;37,13333333;-2,783333333;83;43,02096777
Andalucia;Almeria;4003;Adra;0;0;0;0;0;0;1;7400;11408;9039;9278;11246;10213;9092;10359;12611;13817;15799;16381;17415;20104;21983;24375;25482;77628,45646;36,75;-3,016666667;90;49,9129564
Andalucia;Almeria;4004;Albanchez;0;0;0;0;0;0;1;2190;3080;3022;2410;2413;2953;2571;2533;2053;1736;1655;1178;1003;682;618;745;720;3088,815485;37,2868617;-2,1813585;35;55,79948393
Andalucia;Almeria;4005;Alboloduy;0;0;0;0;0;0;1;2067;2121;2441;2159;2190;2315;2036;1731;1886;1892;1697;1223;1060;898;768;684;614;32614,96985;37,03346;-2,62164;70;25,50365746
Andalucia;Almeria;4006;Albox;0;0;0;0;0;0;1;7425;9290;10338;10313;10186;11794;11135;10439;10552;10568;10184;10062;10113;10010;9795;10885;12336;11044,8751;37,38333333;-2,133333333;168;67,29119724
Andalucia;Almeria;4007;Alcolea;0;0;0;0;0;0;1;1896;2018;1805;1514;1609;1473;1470;1473;1525;1478;1435;1249;893;824;923;911;853;59604,47787;36,96666667;-2,95;67;45,15520677
Andalucia;Almeria;4008;Alcóntar;0;0;0;0;0;0;1;;;;2005;1928;2301;2228;2266;2264;2265;2023;1322;774;629;611;624;550;6941,850444;37,33611111;-2,597222222;94;56,352279
Andalucia;Almeria;4009;Alcudia de Monteagud;0;0;0;0;0;0;1;532;641;688;714;695;665;632;660;692;584;385;296;257;212;173;158;128;12240,70048;37,2360207;-2,2671732;15;47,48982933
Andalucia;Almeria;4010;Alhabia;0;0;0;0;0;0;1;1492;1790;1799;1915;1705;1727;1580;1455;1401;1168;1112;1220;909;774;673;686;677;39234,52076;36,9898102;-2,586758;16;19,74601947
Andalucia;Almeria;4011;Alhama de Almería;0;0;0;0;0;0;1;2384;3671;3964;4521;4060;6033;4738;4167;3356;2521;2650;2868;3023;3050;3199;3841;3744;43458,04649;36,9574546;-2,5667688;26;15,76364648
Andalucia;Almeria;4012;Alicún;0;0;0;0;0;0;1;545;593;598;551;572;587;539;561;514;329;353;278;244;236;237;268;203;44505,80155;36,9658859;-2,6018983;6;18,40519594
Andalucia;Almeria;4013;Alhama de Almería;0;0;0;0;0;0;1;17800;40061;35865;46406;47202;47637;51034;52409;73097;75861;86680;114298;140745;155120;166328;189680;200273;43458,04649;36,9574546;-2,5667688;26;15,76364648
Andalucia;Almeria;4014;Almócita;0;0;0;0;0;0;1;706;632;651;657;619;634;541;557;488;434;429;351;248;182;166;190;197;47989,95659;37,0024944;-2,7898885;30;33,87939576
Andalucia;Almeria;4015;Alsodux;0;0;0;0;0;0;1;400;456;415;546;523;544;627;622;424;347;290;227;140;125;108;151;132;36089,18497;37,0026292;-2,5940967;20;21,29942512
Andalucia;Almeria;4016;Antas;0;0;0;0;0;0;1;2300;3386;3494;2931;3061;3540;3438;3884;3125;2783;2740;2369;2408;2514;2965;3261;3354;335,3978475;37,0026292;-2,5940967;384;21,29942512
Andalucia;Almeria;4017;Arboleas;0;0;0;0;0;0;1;2378;3282;2989;2933;2821;3702;3494;2829;2429;2296;2034;1677;1430;1519;1727;4534;4666;649,3056538;37,3511387;-2,0742569;65;66,6840675
Andalucia;Almeria;4018;Armuña de Almanzora;0;0;0;0;0;0;1;272;471;447;479;439;497;576;626;609;503;451;423;368;376;308;347;310;9864,790256;37,3501535;-2,4151256;8;56,91635585
Andalucia;Almeria;4019;Bacares;0;0;0;0;0;0;1;1363;1188;1300;1264;1531;2023;1775;2245;1646;1448;1400;516;395;313;284;286;246;11547,49649;37,26055556;-2,454722222;95;46,77739076
Andalucia;Almeria;4020;Bayárcal;0;0;0;0;0;0;1;700;879;809;434;477;447;681;722;893;988;911;650;526;389;341;377;322;50615,73752;37,0301069;-2,9953433;37;51,45710792
Andalucia;Almeria;4021;Bayarque;0;0;0;0;0;0;1;629;794;654;599;601;598;699;836;579;572;502;367;283;245;221;224;218;7963,441674;37,3306886;-2,4359436;27;54,63383785
Andalucia;Almeria;4022;Bédar;0;0;0;0;0;0;1;2000;3340;3466;4121;4322;6040;5914;1898;1275;1158;1183;806;569;503;659;942;977;5236,394564;37,1909576;-1,9806488;46;58,23541308
